"","ESTU_GENERO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_TIENEINTERNET","FAMI_NUMLIBROS","ESTU_DEDICACIONINTERNET","ESTU_DEDICACIONLECTURADIARIA","COLE_NATURALEZA","COLE_GENERO","COLE_AREA_UBICACION","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL"
"605","F","Estrato 3","1 a 2","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",74,73,67,66,347
"606","F","Estrato 3","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",58,53,53,59,277
"607","M","Estrato 3","3 a 4","Cuatro","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",54,43,34,29,210
"608","F","Estrato 3","3 a 4","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",67,64,66,71,326
"609","M","Estrato 3","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",65,64,56,64,296
"610","F","Estrato 3","3 a 4","Tres","Si","0 A 10 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",55,57,52,34,259
"611","F","Estrato 3","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",53,36,42,51,213
"612","F","Estrato 3","3 a 4","Dos","Si","MÁS DE 100 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",78,84,100,85,428
"613","M","Estrato 3","3 a 4","Dos","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",61,65,60,27,295
"614","M","Estrato 3","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",55,48,43,52,233
"615","F","Estrato 3","3 a 4","Tres","Si","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",52,47,49,41,235
"616","M","Estrato 3","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",65,69,69,66,342
"617","M","Estrato 3","5 a 6","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",59,50,49,55,260
"618","M","Estrato 3","5 a 6","Tres","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",61,43,56,62,274
"619","F","Estrato 3","7 a 8","Seis o mas","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",59,37,36,24,219
